Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
PPPC081LFBN-RC	Sullins Connector Solutions	DK	S7041-ND	"CONN HEADER FEMALE 8POS .1"" GOLD"	
LVK25R001FER	Ohmite	DK	LVK25R001FERCT-ND	RES SMD 0.001 OHM 1% 2W 1224	1224-Kelvin
OSTTE080104	On Shore Technology Inc	DK	ED2746-ND	TERMINAL BLOCK 3.5MM 8POS PCB	3.50mm
TCST2103	Vishay Semiconductor Opto Division	DK	TCST2103-ND	SENSR OPTO SLOT 3.1MM TRANS THRU	
2-1586043-4	TE Connectivity	DK	A30637-ND	CONN HEADER 24POS R/A W/FLANGE	
1586041-4	TE Connectivity	DK	A30615-ND	CONN HEADER 4POS R/A W/O PEGS	
SQP500JB-20R	Yageo	DK	20W-5-ND	RES 20 OHM 5W 5% AXIAL	
PNP3WVJR-73-220R	Yageo	DK	220GECT-ND	RES 220 OHM 3W 5% AXIAL	
OSTTA060161	On Shore Technology Inc	DK	ED2566-ND	TERMINAL BLOCK 5MM VERT 6POS PCB	
V-1100-SMD/B	Assmann	DK	AE10774TR-ND	HEAT SINK ALUM DPAK TO-252	
IPD30N03S4L-09	Infineon Technologies	DK	IPD30N03S4L-09INCT-ND	MOSFET N-CH 30V 30A TO252-3	
STEPSTICK	Pololu	TWT		STEPSTICK	
ESK106M016AC3AA	Kemet	DK	399-6597-ND	CAP ALUM 10UF 16V 20% RADIAL	
CF14JT1K00	Stackpole Electronics Inc	DK	CF14JT1K00CT-ND	RES 1K OHM 1/4W 5% CARBON FILM	
